timestamp,open,high,low,close,volume,open interest
2024-04-08,5263.25,5269.25,5236.50,5253.25,1167648,2079817
2024-04-09,5258.00,5274.25,5208.25,5260.25,1651973,2071194
2024-04-10,5264.25,5285.00,5176.50,5207.75,2369864,2067307
2024-04-11,5202.00,5257.50,5173.50,5243.25,1762470,2059838
2024-04-12,5244.00,5248.75,5150.00,5167.50,2005106,2074844
2024-04-15,5166.50,5213.25,5094.00,5104.00,2226105,2080316
2024-04-16,5101.25,5123.25,5078.75,5092.50,2098015,2078277
2024-04-17,5096.25,5120.50,5047.00,5062.25,1928645,2065758
2024-04-18,5063.00,5095.25,5038.50,5049.00,1701401,2077676
2024-04-19,5047.25,5058.00,4963.50,5003.75,2357143,2080120
2024-04-22,5014.25,5076.75,5006.00,5047.50,1528228,0
